"Employee compensation by activity"
"Total, % of gross value added, 2002"
"Category","Employee compensation by activity"
"Switzerland",60.1416746654118
"Denmark",59.6023564721794
"Iceland",58.8164326458811
"United States",58.255911946734
"Belgium",58.0570794898772
"Germany",57.6244574448009
"Slovenia",57.447813744964
"France",57.1781963613989
"Netherlands",55.991159560565
"Luxembourg",55.5636684203149
"Portugal",54.8600971187651
"United Kingdom",54.0624180973495
"Canada",54.0373766824665
"Austria",53.156231258033
"Finland",52.9972814818228
"Australia",52.8792316041697
"Spain",52.4909149185599
"Sweden",51.6619135482102
"Norway",51.476975094742
"Hungary",50.8266119853799
"Israel",50.6320465169232
"Estonia",49.189397437752
"Japan",49.0935313127597
"Korea",46.7816412102114
"Poland",45.4526170652808
"Czechia",44.1230185532421
"New Zealand",43.8908659549229
"Slovak Rep.",43.8278135336641
"Lithuania",43.0261513570736
"Latvia",42.421189431672
"Ireland",41.6267616532041
"Italy",41.5087687101593
"Greece",37.0706876575923
"Mexico",28.88814398906
"Türkiye",28.2582068243682
