Gross/ Net;Economic activity;Time period;Average monthly wages
Gross;TOTAL TOTAL;January 2005;312
Gross;TOTAL TOTAL;February 2005;315
Gross;TOTAL TOTAL;March 2005;336
Gross;TOTAL TOTAL;April 2005;332
Gross;TOTAL TOTAL;May 2005;339
Gross;TOTAL TOTAL;June 2005;352
Gross;TOTAL TOTAL;July 2005;359
Gross;TOTAL TOTAL;August 2005;350
Gross;TOTAL TOTAL;September 2005;350
Gross;TOTAL TOTAL;October 2005;355
Gross;TOTAL TOTAL;November 2005;369
Gross;TOTAL TOTAL;December 2005;423
Gross;TOTAL TOTAL;January 2006;374
Gross;TOTAL TOTAL;February 2006;378
Gross;TOTAL TOTAL;March 2006;396
Gross;TOTAL TOTAL;April 2006;401
Gross;TOTAL TOTAL;May 2006;413
Gross;TOTAL TOTAL;June 2006;429
Gross;TOTAL TOTAL;July 2006;437
Gross;TOTAL TOTAL;August 2006;430
Gross;TOTAL TOTAL;September 2006;430
Gross;TOTAL TOTAL;October 2006;449
Gross;TOTAL TOTAL;November 2006;473
Gross;TOTAL TOTAL;December 2006;546
Gross;TOTAL TOTAL;January 2007;496
Gross;TOTAL TOTAL;February 2007;491
Gross;TOTAL TOTAL;March 2007;523
Gross;TOTAL TOTAL;April 2007;531
Gross;TOTAL TOTAL;May 2007;542
Gross;TOTAL TOTAL;June 2007;573
Gross;TOTAL TOTAL;July 2007;587
Gross;TOTAL TOTAL;August 2007;568
Gross;TOTAL TOTAL;September 2007;570
Gross;TOTAL TOTAL;October 2007;601
Gross;TOTAL TOTAL;November 2007;621
Gross;TOTAL TOTAL;December 2007;683
Gross;TOTAL TOTAL;January 2008;635
Gross;TOTAL TOTAL;February 2008;639
Gross;TOTAL TOTAL;March 2008;661
Gross;TOTAL TOTAL;April 2008;667
Gross;TOTAL TOTAL;May 2008;672
Gross;TOTAL TOTAL;June 2008;698
Gross;TOTAL TOTAL;July 2008;718
Gross;TOTAL TOTAL;August 2008;674
Gross;TOTAL TOTAL;September 2008;686
Gross;TOTAL TOTAL;October 2008;696
Gross;TOTAL TOTAL;November 2008;692
Gross;TOTAL TOTAL;December 2008;748
Gross;TOTAL TOTAL;January 2009;670
Gross;TOTAL TOTAL;February 2009;660
Gross;TOTAL TOTAL;March 2009;676
Gross;TOTAL TOTAL;April 2009;669
Gross;TOTAL TOTAL;May 2009;669
Gross;TOTAL TOTAL;June 2009;686
Gross;TOTAL TOTAL;July 2009;688
Gross;TOTAL TOTAL;August 2009;640
Gross;TOTAL TOTAL;September 2009;617
Gross;TOTAL TOTAL;October 2009;611
Gross;TOTAL TOTAL;November 2009;606
Gross;TOTAL TOTAL;December 2009;661
Gross;TOTAL TOTAL;January 2010;608
Gross;TOTAL TOTAL;February 2010;606
Gross;TOTAL TOTAL;March 2010;628
Gross;TOTAL TOTAL;April 2010;629
Gross;TOTAL TOTAL;May 2010;630
Gross;TOTAL TOTAL;June 2010;636
Gross;TOTAL TOTAL;July 2010;649
Gross;TOTAL TOTAL;August 2010;633
Gross;TOTAL TOTAL;September 2010;629
Gross;TOTAL TOTAL;October 2010;631
Gross;TOTAL TOTAL;November 2010;628
Gross;TOTAL TOTAL;December 2010;681
Gross;TOTAL TOTAL;January 2011;636
Gross;TOTAL TOTAL;February 2011;625
Gross;TOTAL TOTAL;March 2011;659
Gross;TOTAL TOTAL;April 2011;655
Gross;TOTAL TOTAL;May 2011;657
Gross;TOTAL TOTAL;June 2011;666
Gross;TOTAL TOTAL;July 2011;671
Gross;TOTAL TOTAL;August 2011;668
Gross;TOTAL TOTAL;September 2011;653
Gross;TOTAL TOTAL;October 2011;656
Gross;TOTAL TOTAL;November 2011;660
Gross;TOTAL TOTAL;December 2011;712
Gross;TOTAL TOTAL;January 2012;660
Gross;TOTAL TOTAL;February 2012;653
Gross;TOTAL TOTAL;March 2012;677
Gross;TOTAL TOTAL;April 2012;681
Gross;TOTAL TOTAL;May 2012;681
Gross;TOTAL TOTAL;June 2012;690
Gross;TOTAL TOTAL;July 2012;703
Gross;TOTAL TOTAL;August 2012;690
Gross;TOTAL TOTAL;September 2012;668
Gross;TOTAL TOTAL;October 2012;691
Gross;TOTAL TOTAL;November 2012;679
Gross;TOTAL TOTAL;December 2012;730
Gross;TOTAL TOTAL;January 2013;690
Gross;TOTAL TOTAL;February 2013;676
Gross;TOTAL TOTAL;March 2013;701
Gross;TOTAL TOTAL;April 2013;715
Gross;TOTAL TOTAL;May 2013;716
Gross;TOTAL TOTAL;June 2013;715
Gross;TOTAL TOTAL;July 2013;751
Gross;TOTAL TOTAL;August 2013;713
Gross;TOTAL TOTAL;September 2013;702
Gross;TOTAL TOTAL;October 2013;722
Gross;TOTAL TOTAL;November 2013;709
Gross;TOTAL TOTAL;December 2013;775
Gross;TOTAL TOTAL;January 2014;744
Gross;TOTAL TOTAL;February 2014;722
Gross;TOTAL TOTAL;March 2014;753
Gross;TOTAL TOTAL;April 2014;766
Gross;TOTAL TOTAL;May 2014;756
Gross;TOTAL TOTAL;June 2014;765
Gross;TOTAL TOTAL;July 2014;802
Gross;TOTAL TOTAL;August 2014;757
Gross;TOTAL TOTAL;September 2014;758
Gross;TOTAL TOTAL;October 2014;772
Gross;TOTAL TOTAL;November 2014;761
Gross;TOTAL TOTAL;December 2014;824
Gross;TOTAL TOTAL;January 2015;778
Gross;TOTAL TOTAL;February 2015;766
Gross;TOTAL TOTAL;March 2015;813
Gross;TOTAL TOTAL;April 2015;815
Gross;TOTAL TOTAL;May 2015;802
Gross;TOTAL TOTAL;June 2015;817
Gross;TOTAL TOTAL;July 2015;863
Gross;TOTAL TOTAL;August 2015;814
Gross;TOTAL TOTAL;September 2015;810
Gross;TOTAL TOTAL;October 2015;817
Gross;TOTAL TOTAL;November 2015;816
Gross;TOTAL TOTAL;December 2015;900
Gross;TOTAL TOTAL;January 2016;814
Gross;TOTAL TOTAL;February 2016;811
Gross;TOTAL TOTAL;March 2016;855
Gross;TOTAL TOTAL;April 2016;842
Gross;TOTAL TOTAL;May 2016;854
Gross;TOTAL TOTAL;June 2016;862
Gross;TOTAL TOTAL;July 2016;866
Gross;TOTAL TOTAL;August 2016;866
Gross;TOTAL TOTAL;September 2016;850
Gross;TOTAL TOTAL;October 2016;852
Gross;TOTAL TOTAL;November 2016;876
Gross;TOTAL TOTAL;December 2016;954
Gross;TOTAL TOTAL;January 2017;877
Gross;TOTAL TOTAL;February 2017;860
Gross;TOTAL TOTAL;March 2017;916
Gross;TOTAL TOTAL;April 2017;911
Gross;TOTAL TOTAL;May 2017;927
Gross;TOTAL TOTAL;June 2017;941
Gross;TOTAL TOTAL;July 2017;935
Gross;TOTAL TOTAL;August 2017;940
Gross;TOTAL TOTAL;September 2017;920
Gross;TOTAL TOTAL;October 2017;927
Gross;TOTAL TOTAL;November 2017;944
Gross;TOTAL TOTAL;December 2017;1013
Gross;TOTAL TOTAL;January 2018;960
Gross;TOTAL TOTAL;February 2018;941
Gross;TOTAL TOTAL;March 2018;985
Gross;TOTAL TOTAL;April 2018;991
Gross;TOTAL TOTAL;May 2018;1007
Gross;TOTAL TOTAL;June 2018;1015
Gross;TOTAL TOTAL;July 2018;1021
Gross;TOTAL TOTAL;August 2018;1015
Gross;TOTAL TOTAL;September 2018;984
Gross;TOTAL TOTAL;October 2018;1020
