Indicator;Economic activity;Year;Number of Employees
Total employment (Domestic concept);TOTAL TOTAL;2000;923687.0
Total employment (Domestic concept);A Agriculture, forestry and fishing;2000;134974.0
Total employment (Domestic concept);B_C_D_E Industry - total;2000;171608.0
Total employment (Domestic concept);B Mining and quarrying;2000;N/A
Total employment (Domestic concept);C Manufacturing;2000;147259.0
Total employment (Domestic concept);D Electricity, gas, steam and air conditioning supply;2000;N/A
Total employment (Domestic concept);E Water supply, sewerage, waste management and remediation activities;2000;N/A
Total employment (Domestic concept);F Construction;2000;55607.0
Total employment (Domestic concept);G_H_I_J Wholesale and retail trade, repair of motor vehicles and motorcycles, transportation and storage, accommodation and food service activities, information and communication;2000;249805.0
Total employment (Domestic concept);G_H_I Wholesale and retail trade, repair of motor vehicles and motorcycles, Transportation and storage, Accommodation and food service activities;2000;226682.0
Total employment (Domestic concept);G Wholesale and retail trade, repair of motor vehicles and motorcycles;2000;N/A
Total employment (Domestic concept);H Transportation and storage;2000;N/A
Total employment (Domestic concept);I Accommodation and food service activities;2000;N/A
Total employment (Domestic concept);J Information and communication;2000;23123.0
Total employment (Domestic concept);K_L_M_N Financial and insurance activities, real estate activitiesprofessional, scientific and technical activities, administrative and support service activities;2000;72110.0
Total employment (Domestic concept);K Financial and insurance activities;2000;14411.0
Total employment (Domestic concept);L Real estate activities;2000;18788.0
Total employment (Domestic concept);M_N Professional, scientific and technical activities, Administrative and support service activities;2000;38911.0
Total employment (Domestic concept);M Professional, scientific and technical activities;2000;N/A
Total employment (Domestic concept);N Administrative and support service activities;2000;N/A
Total employment (Domestic concept);O-T Public administration and defence, compulsory social security, education, human health and social work activities, arts, entertainment and recreation, other service activities, activities of households as employers;2000;239583.0
Total employment (Domestic concept);O_P_Q Public administration and defence, compulsory social security, Education, Human health and social work activities;2000;202435.0
Total employment (Domestic concept);O Public administration and defence, compulsory social security;2000;N/A
Total employment (Domestic concept);P Education;2000;N/A
Total employment (Domestic concept);Q Human health and social work activities;2000;N/A
Total employment (Domestic concept);R_S_T Arts, entertainment and recreation, Other service activities, Activities of households as employers;2000;37148.0
Total employment (Domestic concept);R Arts, entertainment and recreation;2000;N/A
Total employment (Domestic concept);S Other service activities;2000;N/A
Total employment (Domestic concept);T Activities of households as employers, undifferentiated goods- and services-producing activities of households for own use;2000;N/A
Employees (Domestic concept);TOTAL TOTAL;2000;782547.0
Employees (Domestic concept);A Agriculture, forestry and fishing;2000;49889.0
Employees (Domestic concept);B_C_D_E Industry - total;2000;165794.0
Employees (Domestic concept);B Mining and quarrying;2000;N/A
Employees (Domestic concept);C Manufacturing;2000;142286.0
Employees (Domestic concept);D Electricity, gas, steam and air conditioning supply;2000;N/A
Employees (Domestic concept);E Water supply, sewerage, waste management and remediation activities;2000;N/A
Employees (Domestic concept);F Construction;2000;49419.0
Employees (Domestic concept);G_H_I_J Wholesale and retail trade, repair of motor vehicles and motorcycles, transportation and storage, accommodation and food service activities, information and communication;2000;231217.0
Employees (Domestic concept);G_H_I Wholesale and retail trade, repair of motor vehicles and motorcycles, Transportation and storage, Accommodation and food service activities;2000;209571.0
Employees (Domestic concept);G Wholesale and retail trade, repair of motor vehicles and motorcycles;2000;N/A
Employees (Domestic concept);H Transportation and storage;2000;N/A
Employees (Domestic concept);I Accommodation and food service activities;2000;N/A
Employees (Domestic concept);J Information and communication;2000;21646.0
Employees (Domestic concept);K_L_M_N Financial and insurance activities, real estate activitiesprofessional, scientific and technical activities, administrative and support service activities;2000;62407.0
Employees (Domestic concept);K Financial and insurance activities;2000;14233.0
Employees (Domestic concept);L Real estate activities;2000;17951.0
Employees (Domestic concept);M_N Professional, scientific and technical activities, Administrative and support service activities;2000;30223.0
