PCS_ESE;label;Effectifs en EQTP;Salaire moyen en EQTP;Année
210X;Artisans salariés de leur entreprise;47980;2500;2023
220X;Commerçants et assimilés, salariés de leur entreprise;88720;2800;2023
231A;Chefs de grande entreprise de 500 salariés et plus;6280;16600;2023
232A;Chefs de moyenne entreprise, de 50 à 499 salariés;18810;10300;2023
233A;Chefs d'entreprise du bâtiment et des travaux publics, de 10 à 49 salariés;9080;4000;2023
233B;Chefs d'entreprise de l'industrie ou des transports, de 10 à 49 salariés;16710;4400;2023
233C;Chefs d'entreprise commerciale, de 10 à 49 salariés;30160;4300;2023
233D;Chefs d'entreprise de services, de 10 à 49 salariés;100830;4800;2023
311C;Chirurgiens dentistes;7030;7300;2023
311E;Vétérinaires;7390;3600;2023
312A;Avocats;3130;8300;2023
342C;Professeurs agrégés et certifiés en fonction dans l'enseignement supérieur;4730;4300;2023
344B;Médecins salariés non hospitaliers;17900;6800;2023
344D;Pharmaciens salariés;31790;4100;2023
352A;Journalistes (y c. rédacteurs en chef);31230;3600;2023
353A;Directeurs de journaux, administrateurs de presse, directeurs d'éditions (littéraire, musicale, audiovisuelle et multimédia);3460;4800;2023
353B;Directeurs, responsables de programmation et de production de l'audiovisuel et des spectacles;7480;4200;2023
353C;Cadres artistiques et technico-artistiques de la réalisation de l'audiovisuel et des spectacles;24600;4200;2023
354A;Artistes plasticiens;1400;3200;2023
354B;Artistes de la musique et du chant;10040;3500;2023
354C;Artistes dramatiques;9920;3700;2023
354E;Artistes de la danse;2540;2900;2023
354F;Artistes du cirque et des spectacles divers;3580;4200;2023
354G;Professeurs d'art (hors établissements scolaires);6300;2300;2023
371A;Cadres d'état-major administratifs, financiers, commerciaux des grandes entreprises;41210;10600;2023
372A;Cadres chargés d'études économiques, financières, commerciales;108990;5300;2023
372B;Cadres de l'organisation ou du contrôle des services administratifs et financiers;145750;4900;2023
372C;Cadres spécialistes des ressources humaines et du recrutement;101050;4600;2023
372D;Cadres spécialistes de la formation;41870;3600;2023
372E;Juristes;51880;4300;2023
372F;Cadres de la documentation, de l'archivage (hors fonction publique);4690;3500;2023
373A;Cadres des services financiers ou comptables des grandes entreprises;50510;5400;2023
373B;Cadres des autres services administratifs des grandes entreprises;139140;4800;2023
373C;Cadres des services financiers ou comptables des petites et moyennes entreprises;120050;4700;2023
373D;Cadres des autres services administratifs des petites et moyennes entreprises;180880;4400;2023
374A;Cadres de l'exploitation des magasins de vente du commerce de détail;92280;3800;2023
374B;Chefs de produits, acheteurs du commerce et autres cadres de la mercatique;70280;4600;2023
374C;Cadres commerciaux des grandes entreprises (hors commerce de détail);94080;5600;2023
374D;Cadres commerciaux des petites et moyennes entreprises (hors commerce de détail);195540;5200;2023
375A;Cadres de la publicité;30980;4200;2023
375B;Cadres des relations publiques et de la communication;54130;4600;2023
376A;Cadres des marchés financiers;16560;11000;2023
376B;Cadres des opérations bancaires;26930;5200;2023
376C;Cadres commerciaux de la banque;61380;4500;2023
376D;Chefs d'établissements et responsables de l'exploitation bancaire;31580;5600;2023
376E;Cadres des services techniques des assurances;59850;4600;2023
376F;Cadres des services techniques des organismes de sécurité sociale et assimilés;19400;3600;2023
376G;Cadres de l'immobilier;42680;4600;2023
377A;Cadres de l'hôtellerie et de la restauration;46290;3600;2023
380A;Directeurs techniques des grandes entreprises;23710;8200;2023
381B;Ingénieurs et cadres d'étude et développement de l'agriculture, la pêche, les eaux et forêts;10220;3300;2023
381C;Ingénieurs et cadres de production et d'exploitation de l'agriculture, la pêche, les eaux et forêts;3870;3800;2023
382A;Ingénieurs et cadres d'étude du bâtiment et des travaux publics;64220;3900;2023
382B;Architectes salariés;15390;3500;2023
382C;Ingénieurs, cadres de chantier et conducteurs de travaux (cadres) du bâtiment et des travaux publics;81580;4000;2023
382D;Ingénieurs et cadres technico-commerciaux en bâtiment, travaux publics;27850;4200;2023
383A;Ingénieurs et cadres d'étude, recherche et développement en électricité, électronique;57440;4400;2023
383B;Ingénieurs et cadres de fabrication en matériel électrique, électronique;10880;4500;2023
383C;Ingénieurs et cadres technico-commerciaux en matériel électrique ou électronique professionnel;17050;4900;2023
384A;Ingénieurs et cadres d'étude, recherche et développement en mécanique et travail des métaux;67830;4200;2023
384B;Ingénieurs et cadres de fabrication en mécanique et travail des métaux;27450;4300;2023
384C;Ingénieurs et cadres technico-commerciaux en matériel mécanique professionnel;17010;4400;2023
385A;Ingénieurs et cadres d'étude, recherche et développement des industries de transformation (agroalimentaire, chimie, métallurgie, matériaux lourds);72150;4600;2023
385B;Ingénieurs et cadres de fabrication des industries de transformation (agroalimentaire, chimie, métallurgie, matériaux lourds);33470;4800;2023
385C;Ingénieurs et cadres technico-commerciaux des industries de transformations (biens intermédiaires);22580;4800;2023
386B;Ingénieurs et cadres d'étude, recherche et développement de la distribution d'énergie, eau;25850;4700;2023
386C;Ingénieurs et cadres d'étude, recherche et développement des autres industries (imprimerie, matériaux souples, ameublement et bois);16200;4000;2023
386D;Ingénieurs et cadres de la production et de la distribution d'énergie, eau;25060;5600;2023
386E;Ingénieurs et cadres de fabrication des autres industries (imprimerie, matériaux souples, ameublement et bois);10230;4200;2023
387A;Ingénieurs et cadres des achats et approvisionnements industriels;34540;4500;2023
387B;Ingénieurs et cadres de la logistique, du planning et de l'ordonnancement;54950;4300;2023
387C;Ingénieurs et cadres des méthodes de production;47150;4400;2023
387D;Ingénieurs et cadres du contrôle-qualité;60090;4100;2023
387E;Ingénieurs et cadres de la maintenance, de l'entretien et des travaux neufs;44090;4200;2023
387F;Ingénieurs et cadres techniques de l'environnement;24900;3700;2023
388A;Ingénieurs et cadres d'étude, recherche et développement en informatique;371740;4000;2023
388B;Ingénieurs et cadres d'administration, maintenance, support et services aux utilisateurs en informatique;70500;4400;2023
388C;Chefs de projets informatiques, responsables informatiques;192360;4200;2023
388D;Ingénieurs et cadres technico-commerciaux en informatique et télécommunications;36700;5200;2023
388E;Ingénieurs et cadres spécialistes des télécommunications;25920;4400;2023
389A;Ingénieurs et cadres techniques de l'exploitation des transports;40970;4300;2023
389B;Officiers et cadres navigants techniques et commerciaux de l'aviation civile;10030;9300;2023
389C;Officiers et cadres navigants techniques de la marine marchande;4690;5500;2023
423A;Moniteurs d'école de conduite;16770;1800;2023
423B;Formateurs et animateurs de formation continue;64250;2400;2023
424A;Moniteurs et éducateurs sportifs, sportifs professionnels;56040;3900;2023
433B;Opticiens lunetiers et audioprothésistes salariés;16530;2800;2023
433C;Autres spécialistes de l'appareillage médical salariés;11390;2500;2023
433D;Préparateurs en pharmacie;62420;2200;2023
434A;Cadres de l'intervention socio-éducative;37540;3400;2023
434B;Assistants de service social;28370;2200;2023
434C;Conseillers en économie sociale familiale;19280;2200;2023
434E;Moniteurs éducateurs;35710;2000;2023
434F;Educateurs techniques spécialisés, moniteurs d'atelier;22060;2100;2023
435A;Directeurs de centres socioculturels et de loisirs;9400;2600;2023
435B;Animateurs socioculturels et de loisirs;81710;1800;2023
441A;Clergé séculier;3420;1900;2023
441B;Clergé régulier;4680;1700;2023
461B;Secrétaires de direction, assistants de direction (non cadres);83110;2600;2023
461C;Secrétaires de niveau supérieur (non cadres, hors secrétaires de direction);38530;2500;2023
461D;Maîtrise et techniciens des services financiers ou comptables;133300;2600;2023
461E;Maîtrise et techniciens administratifs des services juridiques ou du personnel;78160;2700;2023
461F;Maîtrise et techniciens administratifs des autres services administratifs;129840;2600;2023
462A;Chefs de petites surfaces de vente;30670;2500;2023
462B;Maîtrise de l'exploitation des magasins de vente;90180;2400;2023
462C;Acheteurs non classés cadres, aides-acheteurs;28670;2600;2023
462D;Animateurs commerciaux des magasins de vente, marchandiseurs (non cadres);19130;2500;2023
462E;Autres professions intermédiaires commerciales (sauf techniciens des forces de vente);129360;2800;2023
463A;Techniciens commerciaux et technico-commerciaux, représentants en informatique;10680;2700;2023
463B;Techniciens commerciaux et technico-commerciaux, représentants en biens d'équipement, en biens intermédiaires, commerce interindustriel (hors informatique);37750;3200;2023
463C;Techniciens commerciaux et technico-commerciaux, représentants en biens de consommation auprès d'entreprises;31810;3200;2023
463D;Techniciens commerciaux et technico-commerciaux, représentants en services auprès d'entreprises ou de professionnels (hors banque, assurance, informatique);33440;3300;2023
463E;Techniciens commerciaux et technico-commerciaux, représentants auprès de particuliers (hors banque, assurance, informatique);66100;2800;2023
464A;Assistants de la publicité, des relations publiques;38150;2300;2023
464B;Interprètes, traducteurs;2970;2400;2023
465A;Concepteurs et assistants techniques des arts graphiques, de la mode et de la décoration salariés;26180;2600;2023
465B;Assistants techniques de la réalisation des spectacles vivants et audiovisuels salariés;32460;2700;2023
465C;Photographes;1930;2200;2023
466A;Responsables commerciaux et administratifs des transports de voyageurs et du tourisme (non cadres);20880;2900;2023
466B;Responsables commerciaux et administratifs des transports de marchandises (non cadres);9550;2800;2023
466C;Responsables d'exploitation des transports de voyageurs et de marchandises (non cadres);42960;2900;2023
467A;Chargés de clientèle bancaire;105910;2800;2023
467B;Techniciens des opérations bancaires;27720;2800;2023
467C;Professions intermédiaires techniques et commerciales des assurances;50670;2700;2023
467D;Professions intermédiaires techniques des organismes de sécurité sociale;19350;2500;2023
468A;Maîtrise de restauration : salle et service;36530;2300;2023
468B;Maîtrise de l'hébergement : hall et étages;10820;2400;2023
471A;Techniciens d'étude et de conseil en agriculture, eaux et forêt;9230;2400;2023
471B;Techniciens d'exploitation et de contrôle de la production en agriculture, eaux et forêt;4220;2500;2023
472A;Dessinateurs en bâtiment, travaux publics;32430;2500;2023
472B;Géomètres, topographes;11340;2400;2023
472C;Métreurs et techniciens divers du bâtiment et des travaux publics;54980;2500;2023
473A;Dessinateurs en électricité, électromécanique et électronique;6850;2600;2023
473B;Techniciens de recherche-développement et des méthodes de fabrication en électricité, électromécanique et électronique;23210;2900;2023
473C;Techniciens de fabrication et de contrôle-qualité en électricité, électromécanique et électronique;30250;2700;2023
474A;Dessinateurs en construction mécanique et travail des métaux;18010;2700;2023
474B;Techniciens de recherche-développement et des méthodes de fabrication en construction mécanique et travail des métaux;29050;3000;2023
474C;Techniciens de fabrication et de contrôle-qualité en construction mécanique et travail des métaux;41880;2800;2023
475A;Techniciens de recherche-développement et des méthodes de production des industries de transformation;38310;2800;2023
475B;Techniciens de production et de contrôle-qualité des industries de transformation;59420;2900;2023
476A;Assistants techniques, techniciens de l'imprimerie et de l'édition;5310;2400;2023
476B;Techniciens de l'industrie des matériaux souples, de l'ameublement et du bois;7080;2600;2023
477A;Techniciens de la logistique, du planning et de l'ordonnancement;74380;2600;2023
477B;Techniciens d'installation et de maintenance des équipements industriels (électriques, électromécaniques, mécaniques, hors informatique);141180;2900;2023
477C;Techniciens d'installation et de maintenance des équipements non industriels (hors informatique et télécommunications);50870;2600;2023
